Data from Bam 2023 Isotope Hydrology Studies in Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Slope Analysis,,,,,,,,,,,Intercept Analysis,,,,,,,,,
Study,Location,slope,SE(Slope),intercept,SE(Intercept),n,R2,,w,T,w*T,w*T^2,w^2,w/w.,,wR,wR*T,wR/wR.,,w,T,w*T,w*T^2,w^2,w/w.,,wR,wR*T,wR/wR.
Pelig-Ba 2009Tamale,Tamale,6.788740637,0.754558178,0.398473145,1.996953967,11,0.9,,1.756,6.789,11.924,80.946,3.085,0.001,,1.575,10.691,0.012,,0.251,0.398,0.1,0.04,0.063,0.001,,0.108,0.043,0.036
Yidana et al 2014,West Mamprusi District,7.26634691,0.311301502,4.77937155,2.297765511,21,0.97,,10.319,7.266,74.981,544.841,106.482,0.005,,6.151,44.698,0.045,,0.189,4.779,0.905,4.326,0.036,0.001,,0.095,0.453,0.031
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean =,7.196,0.457,7.652,2.025,,Sums,,2193.671,,16738.958,127826.919,2268851.573,1,,135.531,986.83,1,,174.871,183.644,1445.6,12357.353,17854.712,1,,3.018,22.34,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Meta-analysis of Slopes,,,,,,,Meta-analysis of Intercepts,,,,,,,,,,,,,
,,,,,,,,,Fixed Effects Analysis,,,Random Effects Analysis,,,,Fixed Effects Analysis,,,,Random Effects Analysis,,,,,,,,,
,,,,,,,,,T. = ,7.631,,T. = ,7.281,,,T. = ,8.267,,,T. = ,7.403,,,,,,,,
,,,,,,,,,v. = ,0.0005,,v. = ,0.0074,,,v. = ,0.0057,,,v. = ,0.331,,,,,,,,
,,,,,,,,,SE(T.) = ,0.021,,SE(T.) = ,0.086,,,SE(T.) = ,0.076,,,SE(T.) = ,0.576,,,,,,,,
,,,,,,,,,Q = ,99.122,,,,,,Q = ,407.094,,,,,,,,,,,,
,,,,,,,,,df = ,23,,,,,,df = ,23,,,,,,,,,,,,
,,,,,,,,,p = ,0,,,,,,p = ,6.15E-72,,,,,,,,,,,,
,,,,,,,,,tau^2 = ,0.066,,,,,,tau^2 = ,5.28,,,,,,,,,,,,
"Personal communication on recent isotope data collection between 2019 and 2021 in Ghana (Cynthia Laar, Ghana Atmic Energy Commission)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METHOD ,Data type,Record period,No. of samples,No. of Sites,SLOPE,SES,INTERCEPT,SEI,,,,,,,,,,,,,,,,,,,,,
OSLR,Extracted data,1986 - 2016 (20 years),581,24,7.23,0.07,6.37,0.3,,7.282470615,0.084093658,6.538652656,0.321951424,,,,,,,,,,,,,,,,
OSLR,Continuous sampling,2019 - 2021 (3 years),605,8,7.12,0.07,6.16,0.26,,,,,,,,,,,,,,,,,,,,,
PWLSR,Continuous sampling,"2019 - 2021 ("" "")",605,8,7.31,0.07,7.24,0.31,,,,,,,,,,,,,,,,,,,,,
REM,Extracted data,1986 - 2016 (20 years),581,24,7.28,0.09,7.4,0.58,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Analysis,Effect size,SDpooled,Hedges's G,,Waldtest,,,,,,,,,,
,,,,,,,,,,,,,,,,,g,g',p,z,,,,,,,,,
